120023msec 100   sleep-INFO:Deep Sleeping...
120023msec 139   sleep-INFO:Deep Sleeping...
120023msec 295   sleep-INFO:Deep Sleeping...
120023msec 334   sleep-INFO:Deep Sleeping...
120023msec 724   sleep-INFO:Deep Sleeping...
120022msec 20    sleep-INFO:Deep Sleeping...
120022msec 61    sleep-INFO:Deep Sleeping...
120022msec 178   sleep-INFO:Deep Sleeping...
120022msec 217   sleep-INFO:Deep Sleeping...
120022msec 256   sleep-INFO:Deep Sleeping...
120022msec 373   sleep-INFO:Deep Sleeping...
120022msec 412   sleep-INFO:Deep Sleeping...
120022msec 451   sleep-INFO:Deep Sleeping...
120022msec 490   sleep-INFO:Deep Sleeping...
120022msec 529   sleep-INFO:Deep Sleeping...
120022msec 568   sleep-INFO:Deep Sleeping...
120022msec 607   sleep-INFO:Deep Sleeping...
120022msec 646   sleep-INFO:Deep Sleeping...
120022msec 685   sleep-INFO:Deep Sleeping...
5022msec   34    sleep-INFO:Deep Sleeping...
5022msec   75    sleep-INFO:Deep Sleeping...
5022msec   114   sleep-INFO:Deep Sleeping...
5022msec   153   sleep-INFO:Deep Sleeping...
5022msec   192   sleep-INFO:Deep Sleeping...
5022msec   231   sleep-INFO:Deep Sleeping...
5022msec   270   sleep-INFO:Deep Sleeping...
5022msec   309   sleep-INFO:Deep Sleeping...
5022msec   348   sleep-INFO:Deep Sleeping...
5022msec   387   sleep-INFO:Deep Sleeping...
5022msec   465   sleep-INFO:Deep Sleeping...
5022msec   504   sleep-INFO:Deep Sleeping...
5022msec   543   sleep-INFO:Deep Sleeping...
5022msec   582   sleep-INFO:Deep Sleeping...
5022msec   621   sleep-INFO:Deep Sleeping...
5022msec   660   sleep-INFO:Deep Sleeping...
5022msec   699   sleep-INFO:Deep Sleeping...
5022msec   738   sleep-INFO:Deep Sleeping...
5021msec   426   sleep-INFO:Deep Sleeping...
4523msec   54    epd29-INFO:Init done.
122msec    53    app-INFO:Initializing display...
51msec     132   app-DEBUG:Importing display...
51msec     171   app-DEBUG:Importing display...
51msec     327   app-DEBUG:Importing display...
51msec     366   app-DEBUG:Importing display...
51msec     444   app-DEBUG:Importing display...
51msec     678   app-DEBUG:Importing display...
51msec     756   app-DEBUG:Importing display...
50msec     93    app-DEBUG:Importing display...
50msec     210   app-DEBUG:Importing display...
50msec     249   app-DEBUG:Importing display...
50msec     288   app-DEBUG:Importing display...
50msec     405   app-DEBUG:Importing display...
50msec     483   app-DEBUG:Importing display...
50msec     522   app-DEBUG:Importing display...
50msec     561   app-DEBUG:Importing display...
50msec     600   app-DEBUG:Importing display...
50msec     639   app-DEBUG:Importing display...
50msec     717   app-DEBUG:Importing display...
44msec     94    display-INFO:Refreshing display...
44msec     133   display-INFO:Refreshing display...
44msec     211   display-INFO:Refreshing display...
44msec     250   display-INFO:Refreshing display...
44msec     289   display-INFO:Refreshing display...
44msec     328   display-INFO:Refreshing display...
44msec     406   display-INFO:Refreshing display...
44msec     445   display-INFO:Refreshing display...
44msec     484   display-INFO:Refreshing display...
44msec     523   display-INFO:Refreshing display...
44msec     562   display-INFO:Refreshing display...
44msec     601   display-INFO:Refreshing display...
44msec     640   display-INFO:Refreshing display...
44msec     679   display-INFO:Refreshing display...
44msec     718   display-INFO:Refreshing display...
44msec     757   display-INFO:Refreshing display...
43msec     55    display-INFO:Refreshing display...
43msec     172   display-INFO:Refreshing display...
43msec     367   display-INFO:Refreshing display...
32msec     52    app-DEBUG:Importing display...
21msec     14    app-INFO:Reading sensors...
21msec     127   app-INFO:Reading sensors...
21msec     166   app-INFO:Reading sensors...
21msec     205   app-INFO:Reading sensors...
21msec     361   app-INFO:Reading sensors...
21msec     673   app-INFO:Reading sensors...
21msec     751   app-INFO:Reading sensors...
20msec     47    app-INFO:Reading sensors...
20msec     88    app-INFO:Reading sensors...
20msec     244   app-INFO:Reading sensors...
20msec     283   app-INFO:Reading sensors...
20msec     322   app-INFO:Reading sensors...
20msec     400   app-INFO:Reading sensors...
20msec     439   app-INFO:Reading sensors...
20msec     478   app-INFO:Reading sensors...
20msec     517   app-INFO:Reading sensors...
20msec     556   app-INFO:Reading sensors...
20msec     595   app-INFO:Reading sensors...
20msec     634   app-INFO:Reading sensors...
20msec     712   app-INFO:Reading sensors...
14msec     12    app-DEBUG:Creating home assistant device...
14msec     45    app-DEBUG:Creating home assistant device...
14msec     86    app-DEBUG:Creating home assistant device...
14msec     125   app-DEBUG:Creating home assistant device...
14msec     164   app-DEBUG:Creating home assistant device...
14msec     203   app-DEBUG:Creating home assistant device...
14msec     242   app-DEBUG:Creating home assistant device...
14msec     281   app-DEBUG:Creating home assistant device...
14msec     320   app-DEBUG:Creating home assistant device...
14msec     359   app-DEBUG:Creating home assistant device...
14msec     398   app-DEBUG:Creating home assistant device...
14msec     437   app-DEBUG:Creating home assistant device...
14msec     476   app-DEBUG:Creating home assistant device...
14msec     515   app-DEBUG:Creating home assistant device...
14msec     554   app-DEBUG:Creating home assistant device...
14msec     593   app-DEBUG:Creating home assistant device...
14msec     632   app-DEBUG:Creating home assistant device...
14msec     671   app-DEBUG:Creating home assistant device...
14msec     710   app-DEBUG:Creating home assistant device...
14msec     749   app-DEBUG:Creating home assistant device...
13msec     11    app-INFO:Initializing home assistant...
13msec     44    app-INFO:Initializing home assistant...
13msec     124   app-INFO:Initializing home assistant...
13msec     163   app-INFO:Initializing home assistant...
13msec     202   app-INFO:Initializing home assistant...
13msec     319   app-INFO:Initializing home assistant...
13msec     358   app-INFO:Initializing home assistant...
13msec     397   app-INFO:Initializing home assistant...
13msec     436   app-INFO:Initializing home assistant...
13msec     670   app-INFO:Initializing home assistant...
13msec     748   app-INFO:Initializing home assistant...
12msec     85    app-INFO:Initializing home assistant...
12msec     241   app-INFO:Initializing home assistant...
12msec     280   app-INFO:Initializing home assistant...
12msec     475   app-INFO:Initializing home assistant...
12msec     514   app-INFO:Initializing home assistant...
12msec     553   app-INFO:Initializing home assistant...
12msec     592   app-INFO:Initializing home assistant...
12msec     631   app-INFO:Initializing home assistant...
12msec     709   app-INFO:Initializing home assistant...
11msec     7     app-INFO:Initializing device...
11msec     26    app-INFO:Initializing device...
11msec     40    app-INFO:Initializing device...
11msec     67    app-INFO:Initializing device...
11msec     81    app-INFO:Initializing device...
11msec     106   app-INFO:Initializing device...
11msec     120   app-INFO:Initializing device...
11msec     145   app-INFO:Initializing device...
11msec     159   app-INFO:Initializing device...
11msec     198   app-INFO:Initializing device...
11msec     223   app-INFO:Initializing device...
11msec     237   app-INFO:Initializing device...
11msec     262   app-INFO:Initializing device...
11msec     276   app-INFO:Initializing device...
11msec     301   app-INFO:Initializing device...
11msec     315   app-INFO:Initializing device...
11msec     340   app-INFO:Initializing device...
11msec     354   app-INFO:Initializing device...
11msec     393   app-INFO:Initializing device...
11msec     418   app-INFO:Initializing device...
11msec     457   app-INFO:Initializing device...
11msec     471   app-INFO:Initializing device...
11msec     496   app-INFO:Initializing device...
11msec     510   app-INFO:Initializing device...
11msec     535   app-INFO:Initializing device...
11msec     549   app-INFO:Initializing device...
11msec     574   app-INFO:Initializing device...
11msec     588   app-INFO:Initializing device...
11msec     613   app-INFO:Initializing device...
11msec     627   app-INFO:Initializing device...
11msec     652   app-INFO:Initializing device...
11msec     666   app-INFO:Initializing device...
11msec     691   app-INFO:Initializing device...
11msec     705   app-INFO:Initializing device...
11msec     730   app-INFO:Initializing device...
11msec     744   app-INFO:Initializing device...
10msec     184   app-INFO:Initializing device...
10msec     379   app-INFO:Initializing device...
10msec     432   app-INFO:Initializing device...
7msec      87    app-INFO:Processing...
7msec      243   app-INFO:Processing...
7msec      282   app-INFO:Processing...
7msec      321   app-INFO:Processing...
7msec      477   app-INFO:Processing...
7msec      516   app-INFO:Processing...
7msec      555   app-INFO:Processing...
7msec      594   app-INFO:Processing...
7msec      633   app-INFO:Processing...
7msec      711   app-INFO:Processing...
6msec      13    app-INFO:Processing...
6msec      46    app-INFO:Processing...
6msec      126   app-INFO:Processing...
6msec      165   app-INFO:Processing...
6msec      204   app-INFO:Processing...
6msec      360   app-INFO:Processing...
6msec      399   app-INFO:Processing...
6msec      438   app-INFO:Processing...
6msec      672   app-INFO:Processing...
6msec      750   app-INFO:Processing...
5msec      10    app-INFO:Initializing scd41...
5msec      29    app-INFO:Initializing scd41...
5msec      43    app-INFO:Initializing scd41...
5msec      58    app-DEBUG:Updating state to 1
5msec      70    app-INFO:Initializing scd41...
5msec      84    app-INFO:Initializing scd41...
5msec      109   app-INFO:Initializing scd41...
5msec      148   app-INFO:Initializing scd41...
5msec      162   app-INFO:Initializing scd41...
5msec      187   app-INFO:Initializing scd41...
5msec      201   app-INFO:Initializing scd41...
5msec      226   app-INFO:Initializing scd41...
5msec      240   app-INFO:Initializing scd41...
5msec      265   app-INFO:Initializing scd41...
5msec      279   app-INFO:Initializing scd41...
5msec      304   app-INFO:Initializing scd41...
5msec      343   app-INFO:Initializing scd41...
5msec      357   app-INFO:Initializing scd41...
5msec      382   app-INFO:Initializing scd41...
5msec      396   app-INFO:Initializing scd41...
5msec      421   app-INFO:Initializing scd41...
5msec      435   app-INFO:Initializing scd41...
5msec      460   app-INFO:Initializing scd41...
5msec      474   app-INFO:Initializing scd41...
5msec      499   app-INFO:Initializing scd41...
5msec      513   app-INFO:Initializing scd41...
5msec      538   app-INFO:Initializing scd41...
5msec      552   app-INFO:Initializing scd41...
5msec      577   app-INFO:Initializing scd41...
5msec      591   app-INFO:Initializing scd41...
5msec      616   app-INFO:Initializing scd41...
5msec      630   app-INFO:Initializing scd41...
5msec      694   app-INFO:Initializing scd41...
5msec      708   app-INFO:Initializing scd41...
5msec      733   app-INFO:Initializing scd41...
4msec      123   app-INFO:Initializing scd41...
4msec      318   app-INFO:Initializing scd41...
4msec      655   app-INFO:Initializing scd41...
4msec      669   app-INFO:Initializing scd41...
4msec      747   app-INFO:Initializing scd41...
3msec      3     app-DEBUG:App start time: 7210
3msec      30    app-INFO:Sending single shot...
3msec      56    display-DEBUG:Display update completed.
3msec      90    app-INFO:Updating display...
3msec      110   app-INFO:Sending single shot...
3msec      116   app-DEBUG:App start time: 387525
3msec      149   app-INFO:Sending single shot...
3msec      173   display-DEBUG:Display update completed.
3msec      185   app-DEBUG:Backup ram check duration: 6msec
3msec      188   app-INFO:Sending single shot...
3msec      212   display-DEBUG:Display update completed.
3msec      224   app-DEBUG:Backup ram check duration: 6msec
3msec      238   app-DEBUG:Backup ram check duration: 6msec
3msec      251   display-DEBUG:Display update completed.
3msec      253   app-DEBUG:Updating state to 1
3msec      285   app-INFO:Updating display...
3msec      290   display-DEBUG:Display update completed.
3msec      305   app-INFO:Sending single shot...
3msec      311   app-DEBUG:App start time: 1013834
3msec      344   app-INFO:Sending single shot...
3msec      368   display-DEBUG:Display update completed.
3msec      380   app-DEBUG:Backup ram check duration: 6msec
3msec      383   app-INFO:Sending single shot...
3msec      407   display-DEBUG:Display update completed.
3msec      419   app-DEBUG:Backup ram check duration: 6msec
3msec      423   app-DEBUG:Updating state to 2
3msec      433   app-DEBUG:Backup ram check duration: 6msec
3msec      446   display-DEBUG:Display update completed.
3msec      458   app-DEBUG:Backup ram check duration: 6msec
3msec      472   app-DEBUG:Backup ram check duration: 6msec
3msec      485   display-DEBUG:Display update completed.
3msec      487   app-DEBUG:Updating state to 1
3msec      497   app-DEBUG:Backup ram check duration: 7msec
3msec      511   app-DEBUG:Backup ram check duration: 6msec
3msec      519   app-INFO:Updating display...
3msec      524   display-DEBUG:Display update completed.
3msec      536   app-DEBUG:Backup ram check duration: 7msec
3msec      550   app-DEBUG:Backup ram check duration: 6msec
3msec      563   display-DEBUG:Display update completed.
3msec      565   app-DEBUG:Updating state to 1
3msec      589   app-DEBUG:Backup ram check duration: 7msec
3msec      597   app-INFO:Updating display...
3msec      602   display-DEBUG:Display update completed.
3msec      604   app-DEBUG:Updating state to 1
3msec      636   app-INFO:Updating display...
3msec      641   display-DEBUG:Display update completed.
3msec      643   app-DEBUG:Updating state to 1
3msec      648   app-DEBUG:App start time: 2136138
3msec      656   app-INFO:Sending single shot...
3msec      662   app-DEBUG:App start time: 2141192
3msec      680   display-DEBUG:Display update completed.
3msec      682   app-DEBUG:Updating state to 1
3msec      687   app-DEBUG:App start time: 2261400
3msec      714   app-INFO:Updating display...
3msec      719   display-DEBUG:Display update completed.
3msec      726   app-DEBUG:App start time: 2386662
3msec      734   app-INFO:Sending single shot...
3msec      758   display-DEBUG:Display update completed.
2msec      5     app-INFO:Wake reason: 0
2msec      8     app-DEBUG:Backup ram check duration: 6msec
2msec      15    app-INFO:{'Humidity': 56.73828, 'Temperature': 18.37395, 'Batt Voltage': 0, 'CO2': 791}
2msec      17    app-DEBUG:Updating state to 1
2msec      21    app-DEBUG:Main start
2msec      22    app-DEBUG:App start time: 127318
2msec      23    app-INFO:Reset cause: 5
2msec      25    app-INFO:First boot: False
2msec      27    app-DEBUG:Backup ram check duration: 6msec
2msec      31    app-DEBUG:Updating state to 2
2msec      36    app-DEBUG:App start time: 132373
2msec      37    app-INFO:Reset cause: 5
2msec      39    app-INFO:First boot: False
2msec      41    app-DEBUG:Backup ram check duration: 6msec
2msec      48    app-INFO:{'Humidity': 56.48651, 'Temperature': 18.40332, 'Batt Voltage': 0, 'CO2': 895}
2msec      49    app-INFO:Updating display...
2msec      57    app-WARNING:Run time: 4826
2msec      62    app-DEBUG:Main start
2msec      63    app-DEBUG:App start time: 257209
2msec      65    app-INFO:Wake reason: 0
